Frame;Question;t_or_f;num
Pia Olsen Dyhr: Jeg føler mig helt tryg ved at gå på gaden i København.;Siden 2015 er antallet af voldsforbrydelser i Københavns kommune steget;t;1
Inger Støjberg: dansk landbrug rangerer helt i top i forhold til at producere kød og mejeriprodukter mest klimaeffektivt.;1 kilo importeret avocado har et højere CO2 aftryk end 1 kilo dansk produceret kylling;f;2
Inger Støjberg: Den mislykkede udlændingepolitik har kostet danskerne alt for mange penge.;Der er flere ikke-vestlige indvandrere i arbejde, end der er ikke-vestlige indvandrere, der søger asyl;f;3
Pia Olsen Dyhr: VI skal håndtere flygtninge med venlighed, værdighed og solidaritet, for at bevare det menneskelige potentiale.;Unge med dansk oprindelse begår lige så meget kriminalitet som unge ikke-vestlige indvandrere og efterkommere;f;4
Inger Støjberg: Det er snæversynet kun at fokusere på at nedbringe danske udledninger uden blik for de globale konsekvenser.;Der bliver i Danmark udledt adskillige tusinde ton færre drivhusgasser i dag end i 90’erne;t;5
Pia Olsen Dyhr: Danmark skal gå forrest og vise vejen med en ambitiøs klimapolitik.;Cirka halvdelen af Danmarks samlede energiproduktion består af vedvarende energi;t;6
Pia Olsen Dyhr: Det er vigtigt at give frihed til folkeskolerne. Frihed er først og fremmest noget med at give frihed til lærerne til at bruge den faglige dømmekraft.;Halvdelen af dem der blev sigtet for spirituskørsel i 2021 havde grundskolen som højeste uddannelsesniveau;t;7
Inger Støjberg: Jeg mener ikke, at seksualundervisning skal være obligatorisk hverken på erhvervsskolerne eller på gymnasierne.;Klamydia er faldende blandt unge;f;8
Pia Olsen Dyhr: Det er en vigtig kamp for klimaet at vælge offentlig transport over bilen eller flyet.;Tog og busser bliver brugt i lige så høj grad som biler til persontransport;f;9
Inger Støjberg: Jeg er glad for vi har en stærk hovedstad, men udviklingen af bolig- og lejepriserne er blevet helt urimelige.;Siden 2013 er prisen på familiehuse på landet steget lige så meget som prisen på ejerlejligheder i København;f;10
Inger Støjberg: Det er godt at genanvende affald, men det er en meget lille spiller når vi snakker klimapolitik.;Cirka 1 sjettedel af indsamlet affald i danmark bliver brugt til genanvendelse;t;11
Pia Olsen Dyhr: Det er nødvendigt at regulere fordelingen af elever på gymnasierne, sådan nogle har længere til skole end andre, for at bremse polarisering og etnisk opdeling.;Frafaldssandsynligheden for alle ungdomsuddannelser stiger med afstanden eleverne har til skole;f;12
Inger Støjberg: Jeg støtter ikke forslaget om at tillade juridisk kønsskifte af spædbørn. Vi skal holde fast i at børn skal have lov til at være børn.;I 2020 var der mere end 1000 unge under 18 år, der blev henvist til rigshospitalets center for kønsidentitet (i ønsket om at skifte køn);f;13
Pia Olsen Dyhr: Den humanistiske viden om for eksempel historie, sprog og kultur er essentiel, hvis vi skal løse klimakrisen, skabe vellykket integration og udvikle teknologi, der kommer alle til gode.;Humanister tager generelt længere tid om at komme i job sammenlignet med andre dimittender;t;14
Pia Olsen Dyhr: Jeg kunne godt tænke os, det var attraktivt for ressourcestærke personer, der enten arbejder eller uddanner sig, at flytte til udsatte boligområder.;Siden 1990 er andelen af personer med en videregående uddannelse steget kraftigt. Udviklingen i ghettoområder er dog markant lavere end på landsplan;t;15
Inger Støjberg: De unge tager alt for mange fjumreår. Det er meget dyrt for samfundet.;Studerende, der har taget 1 eller flere sabbatår mellem ungdomsuddannelse og videregående uddannelse har cirka samme frafaldsprocent som dem, der går direkte videre;f;16
